2024-05-14 14:39:58,466 INFO    MainThread:931193 [wandb_setup.py:_flush():76] Current SDK version is 0.16.1
2024-05-14 14:39:58,467 INFO    MainThread:931193 [wandb_setup.py:_flush():76] Configure stats pid to 931193
2024-05-14 14:39:58,467 INFO    MainThread:931193 [wandb_setup.py:_flush():76] Loading settings from /mounts/Users/student/yongkang/.config/wandb/settings
2024-05-14 14:39:58,467 INFO    MainThread:931193 [wandb_setup.py:_flush():76] Loading settings from /nfs/datx/lyk/HiFT/wandb/settings
2024-05-14 14:39:58,467 INFO    MainThread:931193 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-05-14 14:39:58,467 INFO    MainThread:931193 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-05-14 14:39:58,467 INFO    MainThread:931193 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'examples/instruct_tuning.py', 'program_abspath': '/nfs/datx/lyk/HiFT/examples/instruct_tuning.py', 'program': 'examples/instruct_tuning.py'}
2024-05-14 14:39:58,467 INFO    MainThread:931193 [wandb_init.py:_log_setup():524] Logging user logs to /nfs/datx/lyk/HiFT/wandb/run-20240514_143958-wo2pjetx/logs/debug.log
2024-05-14 14:39:58,467 INFO    MainThread:931193 [wandb_init.py:_log_setup():525] Logging internal logs to /nfs/datx/lyk/HiFT/wandb/run-20240514_143958-wo2pjetx/logs/debug-internal.log
2024-05-14 14:39:58,467 INFO    MainThread:931193 [wandb_init.py:init():564] calling init triggers
2024-05-14 14:39:58,467 INFO    MainThread:931193 [wandb_init.py:init():571] wandb.init called with sweep_config: {}
config: {}
2024-05-14 14:39:58,467 INFO    MainThread:931193 [wandb_init.py:init():614] starting backend
2024-05-14 14:39:58,467 INFO    MainThread:931193 [wandb_init.py:init():618] setting up manager
2024-05-14 14:39:58,469 INFO    MainThread:931193 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-05-14 14:39:58,471 INFO    MainThread:931193 [wandb_init.py:init():624] backend started and connected
2024-05-14 14:39:58,476 INFO    MainThread:931193 [wandb_init.py:init():716] updated telemetry
2024-05-14 14:39:58,476 INFO    MainThread:931193 [wandb_init.py:init():749] communicating run to backend with 90.0 second timeout
2024-05-14 14:39:58,836 INFO    MainThread:931193 [wandb_run.py:_on_init():2254] communicating current version
2024-05-14 14:39:58,891 INFO    MainThread:931193 [wandb_run.py:_on_init():2263] got version response upgrade_message: "wandb version 0.17.0 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-05-14 14:39:58,891 INFO    MainThread:931193 [wandb_init.py:init():800] starting run threads in backend
2024-05-14 14:40:01,668 INFO    MainThread:931193 [wandb_run.py:_console_start():2233] atexit reg
2024-05-14 14:40:01,668 INFO    MainThread:931193 [wandb_run.py:_redirect():2088] redirect: wrap_raw
2024-05-14 14:40:01,668 INFO    MainThread:931193 [wandb_run.py:_redirect():2153] Wrapping output streams.
2024-05-14 14:40:01,668 INFO    MainThread:931193 [wandb_run.py:_redirect():2178] Redirects installed.
2024-05-14 14:40:01,669 INFO    MainThread:931193 [wandb_init.py:init():841] run started, returning control to user process
